import torch
# Fichier audio d'émotions pour le slot 53
# Données de test pour vérifier l'affichage
neu: 0.8027526140213013
sad: 0.15735509991645813
hap: 0.03769119828939438
sad: 0.4961835443973541
neu: 0.3982797861099243
hap: 0.10284274071455002
sad: 0.6933245658874512
hap: 0.23414549231529236
neu: 0.06972192227840424
hap: 0.5618189573287964
sad: 0.22123409807682037
neu: 0.2166503220796585
hap: 0.638969361782074
ang: 0.24195778369903564
sad: 0.05978376045823097
hap: 0.5197926759719849
sad: 0.4485825002193451
neu: 0.02718709409236908
sad: 0.6586776971817017
neu: 0.3006505072116852
hap: 0.03966793417930603
sad: 0.9249189496040344
neu: 0.05113891139626503
hap: 0.023638054728507996
hap: 0.7442572116851807
neu: 0.17994144558906555
sad: 0.05522415414452553
neu: 0.7462548017501831
sad: 0.1520991176366806
hap: 0.10124587267637253
hap: 0.6388917565345764
sad: 0.2528708279132843
neu: 0.10537230223417282
neu: 0.5631406903266907
sad: 0.20419925451278687
hap: 0.16420060396194458
hap: 0.9102168083190918
sad: 0.050648078322410583
neu: 0.03733126446604729
hap: 0.43743130564689636
sad: 0.3450463116168976
neu: 0.18339543044567108
hap: 0.743696928024292
sad: 0.10187224298715591
neu: 0.08246026933193207
neu: 0.5100628733634949
hap: 0.25552916526794434
sad: 0.1257079392671585
hap: 0.6786186695098877
sad: 0.28716862201690674
neu: 0.030558116734027863
neu: 0.4787876009941101
hap: 0.31073346734046936
sad: 0.20554980635643005
hap: 0.640440046787262
sad: 0.17936506867408752
neu: 0.1770632266998291
neu: 0.47297948598861694
sad: 0.40737923979759216
hap: 0.11950908601284027
sad: 0.6006840467453003
hap: 0.21791969239711761
neu: 0.18111123144626617
hap: 0.506644606590271
neu: 0.4442034065723419
sad: 0.04903317987918854
hap: 0.624596357345581
neu: 0.27113592624664307
sad: 0.10416287183761597
hap: 0.7971131801605225
neu: 0.10419966280460358
sad: 0.06251408904790878
hap: 0.6217293739318848
sad: 0.3439386785030365
neu: 0.03422018513083458
neu: 0.46234554052352905
sad: 0.27679872512817383
hap: 0.2607921063899994
hap: 0.756793737411499
neu: 0.1598508059978485
sad: 0.08334366977214813
neu: 0.7560500502586365
sad: 0.2251710593700409
hap: 0.0187497828155756
sad: 0.6398679614067078
neu: 0.28873658180236816
hap: 0.07138717174530029
neu: 0.43568578362464905
sad: 0.37650278210639954
hap: 0.17888996005058289
neu: 0.6291520595550537
sad: 0.3354807198047638
hap: 0.035339608788490295
hap: 0.5147174000740051
neu: 0.39810308814048767
sad: 0.07476259768009186
hap: 0.41862723231315613
neu: 0.3146813213825226
sad: 0.2540235221385956
sad: 0.713923454284668
neu: 0.229148730635643
hap: 0.05687243863940239
sad: 0.727769136428833
neu: 0.2314189076423645
hap: 0.04045950248837471
sad: 0.734696090221405
neu: 0.20905566215515137
hap: 0.056140512228012085
sad: 0.8215513825416565
neu: 0.1493852436542511
hap: 0.029056914150714874
sad: 0.7743864059448242
neu: 0.21161022782325745
hap: 0.013918432407081127
neu: 0.5143702626228333
hap: 0.24620795249938965
sad: 0.23923663794994354
sad: 0.9109394550323486
neu: 0.05435483902692795
hap: 0.03469296172261238
hap: 0.6256874799728394
neu: 0.2983046770095825
sad: 0.07464076578617096
hap: 0.6653825044631958
sad: 0.27490854263305664
neu: 0.059004880487918854
hap: 0.5827186703681946
neu: 0.3633471429347992
sad: 0.05388157442212105
hap: 0.6687838435173035
sad: 0.26080697774887085
neu: 0.06982040405273438
hap: 0.7296807765960693
neu: 0.24717143177986145
sad: 0.023123815655708313
hap: 0.521507978439331
neu: 0.38255682587623596
sad: 0.09579174965620041
neu: 0.5826314687728882
sad: 0.23851466178894043
hap: 0.17628750205039978
neu: 0.6890103220939636
sad: 0.2731027603149414
hap: 0.03782757744193077
neu: 0.8224719166755676
hap: 0.10853316634893417
sad: 0.06855525821447372
hap: 0.9458119869232178
sad: 0.045689187943935394
neu: 0.006935266312211752
hap: 0.6215681433677673
sad: 0.23308920860290527
neu: 0.13700629770755768
neu: 0.4590451717376709
hap: 0.3595350682735443
sad: 0.18129709362983704
hap: 0.9197095036506653
neu: 0.07027870416641235
sad: 0.0073536173440515995
sad: 0.5790227651596069
neu: 0.41198715567588806
hap: 0.006426494102925062
sad: 0.5930711030960083
neu: 0.35833847522735596
hap: 0.04694358631968498
sad: 0.7822306752204895
neu: 0.17828848958015442
hap: 0.0335608534514904
sad: 0.6343765258789062
neu: 0.26114603877067566
hap: 0.08531150221824646
neu: 0.8687344789505005
sad: 0.05076931044459343
hap: 0.049202680587768555
hap: 0.7399916648864746
neu: 0.19377568364143372
ang: 0.05332975089550018
hap: 0.48966705799102783
neu: 0.32023486495018005
sad: 0.1899796575307846
hap: 0.5564839243888855
sad: 0.2922939658164978
neu: 0.13412077724933624
ang: 0.3230401575565338
hap: 0.2871161997318268
sad: 0.25622907280921936
